专利类型,案件受理年份,专利权人是否为外国人,原告数量,原告类型,被告数量,被告类型,侵权企业规模,请求赔偿金额,地区变量,侵权行为数量,是否恶意侵权,赔偿金额
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,4,1,0万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,4,1,0万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,4,1,0万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,4,1,0万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,4,1,0万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2018,0,0,0,0,0,1,1,1,4,1,0万
3,2016,0,0,0,0,0,1,1,1,2,1,0万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,4,0,0-1万
3,2018,0,0,0,0,0,1,1,1,3,1,0万
3,2014,0,0,0,0,1,3,2,4,4,1,0万
3,2015,0,0,0,0,1,3,2,4,5,0,1-10万
3,2019,0,0,0,0,0,1,0,3,5,0,0-1万
3,2015,0,0,1,0,1,5,0,7,4,0,1-10万
3,2015,0,0,1,1,1,6,0,3,5,0,50-100万
3,2015,0,0,1,1,1,4,0,4,5,0,1-10万
3,2015,0,0,1,0,1,5,0,4,5,0,0-1万
3,2017,0,0,1,0,0,2,2,4,5,0,1-10万
3,2017,0,0,1,0,0,2,2,4,5,0,1-10万
3,2017,0,0,1,0,0,2,2,4,5,0,1-10万
3,2017,0,0,1,0,0,2,2,4,5,0,1-10万
3,2016,0,0,1,0,0,2,2,3,5,0,1-10万
3,2016,0,0,1,0,1,6,2,3,5,0,0-1万
3,2015,0,0,1,1,1,4,2,4,4,0,1-10万
3,2016,0,0,1,1,1,4,2,3,5,0,1-10万
3,2016,0,0,1,0,1,6,2,4,5,1,0万
3,2016,0,0,1,1,1,6,2,4,4,1,0万
3,2015,0,0,1,1,1,4,0,4,5,0,0-1万
3,2015,0,1,1,1,1,3,3,4,4,1,0万
3,2014,0,0,0,1,1,5,3,4,4,1,0万
3,2015,0,0,0,1,1,6,0,5,5,0,0-1万
3,2015,0,0,1,0,1,5,3,3,5,0,1-10万
3,2015,0,1,1,0,1,6,0,5,5,0,20-50万
3,2018,0,0,1,0,1,6,0,7,4,0,1-10万
3,2014,0,0,1,1,1,6,0,3,5,1,0万
3,2016,0,0,1,1,1,6,2,1,5,0,1-10万
3,2018,0,0,1,0,0,2,2,3,5,1,0万
3,2018,0,0,1,1,1,6,2,1,5,0,1-10万
3,2015,0,0,1,0,0,1,0,3,5,1,0万
3,2017,0,0,1,0,0,1,2,7,5,0,0-1万
3,2018,0,0,1,1,1,4,0,3,5,0,1-10万
3,2016,0,0,1,0,1,3,2,4,5,0,1-10万
3,2016,0,0,1,1,1,6,3,4,5,0,1-10万
3,2015,0,0,1,0,1,3,2,4,5,0,1-10万
3,2017,0,0,1,0,1,6,0,4,4,1,0万
3,2014,0,0,0,0,1,3,2,4,4,0,1-10万
3,2018,0,0,1,0,1,3,2,4,4,0,1-10万
3,2016,0,0,1,1,1,4,2,3,5,0,1-10万
3,2017,0,0,1,0,1,4,2,3,5,0,1-10万
3,2018,0,0,1,0,1,3,2,4,4,0,1-10万
3,2015,0,0,1,0,1,5,2,3,5,0,1-10万
3,2018,0,0,1,0,1,2,2,1,5,0,0-1万
3,2018,0,0,1,0,1,2,0,1,5,0,0-1万
3,2016,0,0,0,1,1,6,0,3,3,0,1-10万
3,2016,0,0,0,1,1,6,0,3,4,0,1-10万
3,2018,0,0,0,0,0,2,4,3,5,0,1-10万
3,2016,0,0,0,1,1,6,0,3,4,0,20-50万
3,2015,0,0,0,1,1,6,2,4,4,0,1-10万
3,2016,0,0,0,0,0,1,2,3,3,0,1-10万
3,2016,0,0,0,1,0,3,2,3,3,0,1-10万
3,2018,0,0,0,0,0,2,3,3,5,1,0万
3,2015,0,0,0,0,0,2,0,7,5,0,0-1万
3,2015,0,0,0,0,0,2,2,7,5,0,0-1万
3,2015,0,0,0,0,0,2,2,7,5,0,0-1万
3,2015,0,0,0,0,0,1,2,3,4,0,0-1万
3,2016,0,0,1,0,1,4,3,1,5,0,1-10万
3,2016,0,0,1,1,1,4,4,1,5,0,1-10万
3,2017,0,0,1,1,1,6,0,3,5,1,0万
3,2017,0,0,1,0,1,6,6,4,5,1,0万
3,2014,0,0,1,0,1,3,4,3,4,1,0万
3,2014,0,0,1,0,1,6,4,3,4,1,0万
3,2014,0,0,1,0,1,2,4,3,3,1,0万
3,2017,0,0,1,1,1,6,4,7,5,0,10-20万
3,2017,0,0,1,0,1,5,0,5,2,1,0万
3,2017,0,0,0,1,1,4,0,1,5,0,1-10万
3,2018,0,0,1,0,0,1,0,4,5,0,0-1万
3,2018,0,0,0,0,0,1,0,4,5,0,0-1万
3,2015,0,0,1,0,1,2,5,3,4,0,1-10万
3,2015,0,0,1,1,1,6,3,4,5,0,1-10万
3,2016,0,0,1,1,0,3,2,3,5,0,0-1万
3,2016,0,0,1,1,1,6,2,3,5,0,0-1万
3,2016,0,0,1,1,1,4,2,3,5,0,0-1万
3,2017,0,0,1,1,1,6,3,3,5,0,1-10万
3,2017,0,0,1,1,0,3,4,3,5,0,1-10万
3,2016,0,0,1,0,1,5,2,3,5,0,0-1万
3,2016,0,0,1,1,1,6,2,3,4,1,0万
3,2016,0,0,1,1,1,6,2,7,5,0,0-1万
3,2016,0,0,1,1,1,6,2,3,5,0,0-1万
3,2019,0,0,1,0,1,6,3,3,4,0,1-10万
3,2016,0,0,1,0,1,4,2,3,5,0,1-10万
3,2017,0,0,1,1,0,3,3,3,5,0,1-10万
3,2017,0,0,1,0,1,3,0,3,5,0,1-10万
3,2016,0,0,1,0,1,5,5,3,5,0,10-20万
3,2015,0,0,1,0,1,6,0,3,4,1,0万
3,2016,0,0,1,1,1,6,2,4,5,0,1-10万
3,2017,0,0,1,0,1,3,0,3,5,0,1-10万
3,2015,0,0,1,1,1,6,0,3,5,0,1-10万
3,2018,0,0,1,1,1,6,3,2,4,0,1-10万
3,2015,0,0,1,1,1,6,3,3,5,0,1-10万
3,2015,0,0,1,1,1,6,3,3,5,0,1-10万
3,2015,0,0,1,1,1,6,3,3,5,0,1-10万
3,2014,0,0,1,1,1,6,0,3,5,0,50-100万
3,2016,0,0,1,1,1,5,3,3,5,0,10-20万
3,2017,0,0,1,1,1,6,4,3,5,0,1-10万
3,2015,0,0,1,1,1,6,4,3,5,0,1-10万
3,2015,0,0,1,0,1,6,3,3,5,0,1-10万
3,2016,0,0,0,1,1,6,2,3,4,0,1-10万
3,2018,0,0,0,1,1,6,2,3,5,0,0-1万
3,2018,0,0,0,1,1,6,2,3,5,0,0-1万
3,2018,0,0,1,0,1,2,2,3,4,1,0万
3,2016,0,0,1,0,0,1,2,4,5,0,1-10万
3,2016,0,0,1,0,1,6,2,4,5,0,1-10万
3,2016,0,0,1,0,1,2,2,4,5,0,1-10万
3,2017,0,0,1,1,1,6,0,4,4,1,0万
3,2016,0,0,1,1,1,4,4,4,5,1,0万
3,2018,0,0,1,0,0,2,2,4,5,0,0-1万
3,2018,0,0,1,1,1,4,2,4,5,0,1-10万
3,2018,0,0,1,0,0,2,2,4,5,0,1-10万
3,2018,0,0,1,0,0,2,0,4,5,0,1-10万
3,2018,0,0,1,0,1,3,2,4,4,1,0万
3,2018,0,0,1,0,1,2,2,4,5,0,1-10万
3,2019,0,0,1,0,1,3,2,3,5,0,0-1万
3,2018,0,0,1,1,0,1,2,6,5,0,0-1万
3,2018,0,0,1,0,1,5,3,4,5,0,1-10万
3,2017,0,0,1,1,1,4,0,4,5,0,10-20万
3,2017,0,0,1,0,1,3,2,4,5,0,1-10万
3,2017,0,0,1,1,1,4,2,4,5,0,0-1万
3,2017,0,0,1,1,1,4,2,4,5,0,1-10万
3,2015,0,0,1,0,1,6,5,4,5,0,20-50万
3,2015,0,0,1,1,1,6,1,4,4,0,1-10万
3,2015,0,0,1,0,1,3,2,4,5,0,1-10万
3,2014,0,0,1,0,0,1,2,4,3,0,1-10万
3,2016,0,0,1,0,0,1,0,4,5,1,0万
3,2019,0,0,0,0,0,1,0,4,4,1,0万
3,2015,0,0,1,1,1,6,2,4,5,0,1-10万
3,2018,0,0,1,0,0,1,2,4,4,0,1-10万
3,2017,0,0,1,1,1,4,3,4,5,0,1-10万
3,2016,0,0,1,0,0,1,2,4,4,0,1-10万
3,2015,0,0,1,0,1,3,4,4,5,1,0万
3,2018,0,0,1,0,0,2,2,7,5,0,0-1万
3,2018,0,0,1,0,0,2,2,7,5,0,0-1万
3,2016,0,0,1,0,1,6,4,4,3,1,0万
3,2016,0,0,1,0,1,3,4,4,3,1,0万
3,2018,0,0,1,1,1,5,3,4,5,0,1-10万
3,2016,0,0,1,0,1,3,2,4,5,0,0-1万
3,2017,0,0,1,0,1,3,0,4,4,0,0-1万
3,2017,0,0,1,1,1,4,4,1,5,0,1-10万
3,2017,0,0,1,0,1,2,3,4,5,1,0万
3,2016,0,0,1,0,1,4,4,4,4,1,0万
3,2016,0,0,1,0,1,3,0,4,5,0,1-10万
3,2017,0,0,1,1,1,6,6,4,4,0,20-50万
3,2015,0,0,1,0,1,2,2,4,5,0,0-1万
3,2015,0,0,1,0,1,3,5,4,4,1,0万
3,2018,0,0,1,1,1,3,2,3,5,0,1-10万
3,2018,0,0,1,0,1,4,4,5,5,0,1-10万
3,2018,0,0,1,1,0,3,4,5,5,0,1-10万
3,2014,0,0,0,0,0,1,3,3,5,0,1-10万
3,2017,0,0,1,0,1,5,4,3,4,1,0万
3,2018,0,0,1,1,1,6,2,4,4,0,0-1万
3,2015,0,0,1,0,1,4,2,4,5,0,1-10万
3,2015,0,0,1,0,1,3,2,4,4,0,1-10万
3,2015,0,0,1,0,1,3,3,4,4,0,1-10万
3,2019,0,0,1,1,1,3,0,4,5,0,1-10万
3,2017,0,0,1,1,1,6,2,4,3,0,0-1万
3,2015,0,0,1,0,1,2,2,4,5,0,1-10万
3,2017,0,0,1,0,1,4,0,4,5,0,1-10万
3,2016,0,0,1,1,1,6,4,4,5,0,1-10万
3,2017,0,0,1,0,0,2,3,3,5,0,1-10万
3,2015,0,0,1,0,1,3,2,3,5,0,1-10万
3,2014,0,0,1,0,1,3,2,4,5,0,1-10万
3,2017,0,0,1,0,0,1,0,4,5,0,1-10万
3,2015,0,0,1,1,0,3,3,4,4,1,0万
3,2017,0,0,1,0,0,1,0,4,4,1,0万
3,2017,0,0,1,0,1,4,1,4,5,0,1-10万
3,2016,0,0,1,0,1,3,2,4,5,0,1-10万
3,2015,0,0,1,0,1,3,2,4,5,0,0-1万
3,2015,0,0,1,1,1,6,2,4,5,1,0万
3,2016,0,0,1,1,1,4,3,4,4,1,0万
3,2014,0,0,1,0,1,5,2,2,5,0,1-10万
3,2015,0,0,1,0,1,2,2,4,5,0,1-10万
3,2017,0,0,1,0,1,4,3,4,5,0,1-10万
3,2018,0,0,1,1,1,3,0,4,3,0,1-10万
3,2018,0,0,1,0,0,3,2,4,4,0,1-10万
3,2018,0,0,1,0,0,2,2,4,4,0,1-10万
3,2016,0,0,1,0,1,3,3,4,2,0,1-10万
3,2018,0,0,1,1,1,6,3,4,4,0,0-1万
3,2017,0,0,1,0,1,3,3,4,5,0,1-10万
3,2016,0,0,1,1,1,5,0,4,5,0,1-10万
3,2017,0,0,1,0,1,5,0,4,5,0,20-50万
3,2015,0,0,1,0,1,3,4,4,5,0,1-10万
3,2017,0,0,1,1,1,6,4,4,4,1,0万
3,2018,0,0,1,0,1,3,3,4,5,0,1-10万
3,2017,0,0,1,0,1,3,2,4,5,0,0-1万
3,2018,0,0,1,1,1,6,2,4,5,0,1-10万
3,2017,0,0,1,1,1,4,4,4,5,0,1-10万
3,2015,0,0,1,0,1,2,0,4,5,0,1-10万
3,2015,0,0,1,1,1,4,2,4,5,0,1-10万
3,2015,0,0,1,1,1,4,2,4,5,0,1-10万
3,2017,0,0,1,1,1,4,3,4,5,0,1-10万
3,2018,0,0,1,0,1,3,4,4,5,0,1-10万
3,2016,0,0,1,1,1,4,2,4,5,0,1-10万
3,2016,0,0,1,0,1,3,2,4,5,0,0-1万
3,2014,0,0,1,0,0,1,0,1,5,0,0-1万
3,2014,0,0,1,0,0,1,0,1,5,0,0-1万
3,2014,0,0,1,1,1,3,0,1,5,0,0-1万
3,2017,0,0,1,0,1,3,4,6,5,0,0-1万
3,2017,0,0,1,0,1,3,4,4,4,0,10-20万
3,2016,0,0,1,0,1,6,0,4,5,0,1-10万
3,2017,0,0,1,1,1,6,2,4,5,0,1-10万
3,2017,0,0,1,0,0,2,4,4,4,0,1-10万
3,2019,0,0,0,0,0,1,0,4,4,0,1-10万
3,2019,0,1,1,0,0,1,0,4,4,1,0万
3,2017,0,0,1,1,1,4,6,4,5,0,20-50万
3,2015,0,0,1,0,1,6,0,4,5,0,20-50万
3,2016,0,0,1,0,1,3,2,4,5,0,1-10万
3,2015,0,0,1,0,0,2,2,4,5,1,0万
3,2015,0,0,1,0,1,2,2,4,4,1,0万
3,2017,0,0,1,0,1,2,2,4,5,0,1-10万
3,2016,0,0,1,1,1,6,2,3,4,1,0万
3,2019,0,0,1,0,0,1,2,3,5,0,1-10万
3,2018,0,0,1,1,1,4,2,4,4,0,1-10万
3,2016,0,0,1,1,0,3,4,3,5,0,20-50万
3,2017,0,0,1,1,1,4,2,3,4,1,0万
3,2017,0,0,1,0,1,4,2,3,4,1,0万
3,2016,0,0,0,1,1,3,6,3,5,0,1-10万
3,2019,0,1,1,0,1,6,0,7,3,1,0万
3,2017,0,0,1,1,1,5,6,1,4,0,1-10万
3,2017,0,1,1,0,0,1,0,4,3,0,0-1万
3,2017,0,1,1,0,0,1,0,4,4,0,0-1万
3,2018,0,0,0,0,0,2,2,4,5,0,1-10万
3,2016,0,0,1,1,1,6,2,4,5,1,0万
3,2018,0,0,1,0,1,3,2,1,5,0,0-1万
3,2016,0,0,0,1,1,6,2,2,4,1,0万
3,2017,0,0,0,0,0,1,2,4,4,0,1-10万
3,2016,0,0,1,0,1,5,2,4,5,0,0-1万
3,2015,0,0,1,0,1,6,4,3,4,1,0万
3,2018,0,0,1,0,1,4,3,4,5,1,0万
3,2018,0,0,0,0,0,2,2,4,5,0,1-10万
3,2017,0,0,0,0,0,3,2,3,5,0,0-1万
3,2016,0,0,0,1,1,3,2,4,5,0,0-1万
3,2016,0,0,0,0,1,3,2,4,4,1,0万
3,2018,0,0,0,0,0,2,2,5,5,1,0万
3,2017,0,0,0,0,0,2,2,5,5,1,0万
3,2018,0,0,0,0,0,2,2,5,5,1,0万
3,2017,0,0,0,0,1,3,2,5,5,0,0-1万
3,2017,0,0,0,0,1,2,2,4,5,0,1-10万
3,2016,0,0,0,0,1,3,0,4,5,0,1-10万
3,2014,0,0,0,0,1,2,3,4,3,0,1-10万
3,2015,0,0,0,1,1,3,0,4,5,0,1-10万
3,2014,0,0,0,1,1,4,2,4,4,0,1-10万
3,2016,0,0,0,0,0,1,2,3,3,1,0万
3,2017,0,0,0,0,1,3,2,3,4,0,0-1万
3,2014,0,0,0,0,0,1,4,3,5,0,1-10万
3,2015,0,0,0,0,0,1,2,3,4,1,0万
3,2016,0,0,0,1,0,3,0,4,5,0,1-10万
3,2018,0,0,0,0,1,2,0,4,5,0,1-10万
3,2017,0,0,0,0,1,2,2,4,5,0,1-10万
3,2015,0,0,0,1,0,3,2,3,3,1,0万
3,2016,0,0,0,1,1,6,2,4,5,0,1-10万
3,2014,0,0,0,1,1,5,1,4,5,1,0万
3,2016,0,0,0,1,1,6,6,3,5,0,20-50万
3,2016,0,0,0,0,1,3,2,4,4,1,0万
3,2015,0,1,1,0,0,2,2,4,4,1,0万
3,2017,0,0,0,0,0,1,0,4,5,0,0-1万
3,2016,0,0,0,1,1,4,2,4,5,0,1-10万
3,2014,0,0,0,0,0,1,3,3,5,0,0-1万
3,2015,0,0,0,1,1,6,4,3,3,1,0万
3,2015,0,0,0,0,0,2,2,4,4,0,1-10万
3,2017,0,0,0,0,1,2,2,4,5,0,0-1万
3,2016,0,0,0,0,0,1,2,4,5,1,0万
3,2017,0,0,1,0,1,4,0,7,4,1,0万
3,2014,0,0,1,0,1,4,2,4,5,0,1-10万
3,2018,0,0,1,0,0,1,0,4,4,1,0万
3,2017,0,0,1,0,1,6,2,6,5,0,50-100万
3,2017,0,0,1,1,1,6,0,7,5,1,0万
3,2018,0,0,1,0,1,6,0,7,5,0,1-10万
3,2016,0,0,1,1,1,6,0,4,4,0,1-10万
3,2016,0,0,1,0,1,3,2,4,3,0,1-10万
3,2019,0,0,1,0,1,6,2,3,5,0,1-10万
3,2016,0,0,0,0,1,3,2,4,4,1,0万
3,2016,0,0,1,1,1,3,3,1,5,0,1-10万
3,2019,0,0,1,0,1,4,0,5,5,0,1-10万
3,2016,0,0,0,1,1,4,4,4,5,0,1-10万
3,2012,0,0,1,0,1,3,3,4,4,0,1-10万
3,2014,0,0,1,0,1,3,3,4,4,0,1-10万
3,2015,0,0,1,1,1,5,4,4,5,0,1-10万
3,2017,0,0,1,1,1,6,5,4,5,0,1-10万
3,2017,0,0,0,0,0,1,2,5,4,1,0万
3,2017,0,0,0,0,1,3,2,5,4,0,0-1万
3,2015,0,0,0,0,1,4,2,4,3,1,0万
3,2018,0,0,0,1,1,6,0,4,5,1,0万
3,2017,0,0,0,1,1,4,2,4,5,0,0-1万
3,2017,0,0,0,1,1,4,2,4,4,0,1-10万
3,2018,0,0,1,0,1,3,3,3,4,1,0万
3,2018,0,0,1,0,1,3,2,3,3,1,0万
3,2018,0,0,1,0,1,3,2,3,3,1,0万
3,2017,0,0,1,0,1,5,0,1,5,0,1-10万
3,2018,0,0,0,0,0,1,0,4,4,1,0万
3,2014,0,0,1,1,1,6,4,6,5,0,1-10万
3,2017,0,0,1,0,0,2,2,1,5,1,0万
3,2017,0,0,1,1,1,4,2,7,4,1,0万
3,2016,0,0,1,1,1,5,3,3,5,0,1-10万
3,2017,0,0,1,1,1,3,3,7,4,1,0万
3,2018,0,0,1,1,1,6,3,3,5,1,0万
3,2015,0,0,1,0,0,1,0,4,5,0,0-1万
3,2015,0,0,0,1,1,4,0,4,5,0,0-1万
3,2016,0,0,0,1,1,5,0,4,4,0,1-10万
3,2017,0,0,0,0,1,5,2,4,5,1,0万
3,2018,0,0,0,1,1,4,4,2,4,0,1-10万
3,2016,0,0,0,1,0,3,4,4,4,0,1-10万
3,2016,0,0,0,1,0,3,2,4,4,0,0-1万
3,2016,0,0,0,1,1,6,2,4,4,0,1-10万
3,2016,0,0,0,1,1,6,2,4,4,0,0-1万
3,2015,0,0,0,0,1,6,3,3,5,0,1-10万
3,2016,0,0,0,1,1,4,2,4,5,1,0万
3,2018,0,0,1,0,1,4,5,1,5,0,20-50万
3,2016,0,0,0,0,0,1,3,3,5,0,1-10万
3,2016,0,0,0,0,1,3,3,3,3,1,0万
3,2017,0,0,1,0,1,3,4,3,4,1,0万
3,2017,0,1,1,0,1,6,0,4,5,0,10-20万
3,2017,0,0,0,0,0,1,0,4,5,0,1-10万
3,2017,0,0,0,0,0,2,2,4,4,0,0-1万
3,2018,0,0,0,0,0,2,2,4,4,0,1-10万
3,2017,0,0,1,0,1,2,3,3,5,0,10-20万
3,2017,0,0,1,0,1,3,0,3,4,0,1-10万
3,2017,0,0,0,1,0,3,2,5,5,0,1-10万
3,2018,0,0,1,0,1,5,3,4,5,1,0万
3,2015,0,0,0,1,1,6,4,4,3,0,0-1万
3,2015,0,0,0,0,0,2,0,3,5,0,0-1万
3,2015,0,0,0,0,1,3,2,3,5,0,1-10万
3,2015,0,0,0,0,1,3,2,4,5,0,1-10万
3,2015,0,0,0,0,1,3,2,3,5,0,1-10万
3,2015,0,0,0,0,1,3,2,4,5,0,1-10万
3,2016,0,0,0,0,1,2,3,4,5,1,0万
3,2016,0,0,0,1,0,3,4,4,4,1,0万
3,2016,0,0,0,0,1,5,0,4,3,0,1-10万
3,2018,0,0,0,0,1,2,3,4,5,1,0万
3,2014,0,0,0,0,1,2,0,4,5,0,1-10万
3,2014,0,0,0,0,1,2,3,4,5,0,1-10万
3,2015,0,0,0,0,1,3,0,4,5,0,1-10万
3,2016,0,0,0,0,0,1,0,4,3,1,0万
3,2015,0,0,0,0,1,3,3,4,4,0,1-10万
3,2015,0,0,0,0,0,2,3,3,4,0,1-10万
3,2017,0,0,0,0,0,1,0,7,5,0,0-1万
3,2016,0,0,0,0,1,3,3,7,5,1,0万
3,2016,1,0,1,1,1,6,6,4,5,0,10-20万
3,2016,1,0,1,0,1,3,2,4,4,1,0万
3,2016,1,0,1,1,1,3,2,4,4,1,0万
3,2016,1,0,1,0,1,3,2,4,5,0,1-10万
3,2015,1,0,1,0,1,5,4,3,5,0,1-10万
3,2017,0,1,0,0,0,2,2,3,5,0,0-1万
3,2017,0,1,0,0,0,2,2,3,5,0,0-1万
3,2017,0,1,1,0,0,1,0,3,4,0,10-20万
3,2017,0,0,0,0,1,4,2,4,4,0,1-10万
3,2015,0,0,1,1,1,6,3,3,4,1,0万
3,2016,0,0,1,0,0,1,2,3,4,0,1-10万
3,2018,0,0,1,1,0,3,5,1,4,0,1-10万
3,2015,0,0,1,0,1,5,2,3,5,1,0万
3,2017,0,0,0,1,1,3,2,4,4,0,0-1万
3,2015,0,0,0,1,0,3,2,4,4,0,0-1万
3,2017,0,0,0,0,0,2,2,4,3,0,0-1万
3,2017,0,0,0,0,0,2,2,4,3,0,0-1万
3,2017,0,0,0,0,1,4,5,3,3,0,50-100万
3,2015,0,0,0,0,0,2,2,4,3,0,1-10万
3,2015,0,0,0,0,1,3,2,4,3,0,1-10万
3,2016,0,0,0,1,0,3,0,4,5,1,0万
3,2017,0,0,0,1,1,6,2,3,5,0,0-1万
3,2017,0,0,0,1,1,6,2,3,5,0,1-10万
3,2014,0,0,0,1,0,1,4,3,4,0,1-10万
3,2016,0,0,0,0,0,2,0,4,5,1,0万
3,2016,0,0,0,0,0,2,2,4,5,0,0-1万
3,2016,0,0,0,0,0,1,0,4,4,0,0-1万
3,2016,0,0,0,0,0,1,0,4,4,0,0-1万
3,2017,0,0,0,0,0,1,2,4,5,0,1-10万
3,2018,0,0,0,0,1,3,3,4,4,1,0万
3,2017,0,0,0,0,1,4,0,4,5,1,0万
3,2017,0,0,0,0,1,4,4,3,5,0,1-10万
3,2019,0,0,1,0,0,1,0,5,5,0,0-1万
3,2018,0,0,0,0,0,1,0,5,5,0,0-1万
3,2018,0,0,1,0,0,1,0,5,5,0,0-1万
3,2018,0,0,0,0,0,2,2,3,5,1,0万
3,2018,0,0,0,0,1,3,2,3,5,1,0万
3,2018,0,0,0,0,0,1,2,3,5,1,0万
3,2018,0,0,0,0,0,1,2,3,5,1,0万
3,2018,0,0,0,1,1,4,3,4,4,1,0万
3,2015,0,0,0,0,0,2,2,4,5,0,1-10万
3,2016,0,0,0,0,0,1,2,4,5,1,0万
3,2017,0,0,0,0,0,2,0,4,4,0,1-10万
3,2016,0,0,0,0,1,5,2,3,5,0,1-10万
3,2018,0,0,0,0,1,3,2,4,5,0,1-10万
3,2017,0,0,0,1,1,4,2,4,4,0,0-1万
3,2018,0,1,1,0,0,1,3,4,4,0,0-1万
3,2017,0,0,0,0,0,1,0,4,4,1,0万
3,2018,0,1,1,0,1,2,3,7,4,0,1-10万
3,2018,0,0,1,0,0,1,0,4,5,0,1-10万
3,2017,0,0,0,1,1,6,4,4,4,0,1-10万
3,2015,0,0,0,0,1,3,3,3,4,0,10-20万
3,2017,0,0,0,1,0,3,3,4,4,0,1-10万
3,2015,0,0,0,1,1,6,2,4,5,1,0万
3,2017,0,0,1,1,1,6,2,6,4,0,1-10万
3,2015,0,1,1,0,0,2,0,4,5,0,1-10万
3,2016,0,0,0,0,1,3,4,3,4,0,1-10万
3,2016,0,0,0,0,0,1,1,3,3,0,0-1万
3,2015,0,0,0,0,0,2,3,3,4,0,1-10万
3,2018,0,0,0,0,1,4,3,2,5,0,1-10万
3,2018,0,1,1,0,0,1,0,4,5,0,1-10万
3,2018,0,0,1,0,1,3,0,3,4,0,20-50万
3,2019,0,0,1,0,0,1,3,1,5,0,1-10万
3,2017,0,0,1,0,0,2,4,3,5,0,1-10万
3,2017,0,0,1,0,1,3,0,4,5,0,10-20万
3,2018,0,0,0,0,0,2,2,4,4,0,1-10万
3,2016,0,0,0,1,1,3,2,4,4,1,0万
3,2015,0,0,0,1,1,3,0,4,4,1,0万
3,2016,0,0,0,0,0,2,0,4,4,0,1-10万
3,2016,0,0,0,1,0,1,2,4,4,0,1-10万
3,2016,0,0,0,1,0,1,2,4,4,0,1-10万
3,2016,0,0,0,0,1,4,2,4,4,0,1-10万
3,2018,0,0,0,0,0,2,3,4,4,0,1-10万
3,2018,0,0,0,1,1,6,0,4,3,0,0-1万
3,2018,0,0,0,0,1,6,1,1,5,0,10-20万
3,2015,0,0,0,0,1,3,2,3,5,1,0万
3,2014,0,0,0,0,0,1,2,4,5,0,1-10万
3,2017,0,0,0,0,1,4,3,3,5,0,0-1万
3,2017,0,0,0,1,1,4,6,3,5,0,0-1万
3,2014,0,0,0,1,0,3,2,4,4,1,0万
3,2014,0,0,0,0,0,1,2,4,4,1,0万
3,2018,0,0,1,1,0,3,2,3,5,0,1-10万
3,2016,0,0,1,1,1,6,0,4,5,0,1-10万
3,2016,0,0,0,1,1,6,0,4,5,1,0万
3,2018,0,0,0,1,1,5,2,4,4,0,0-1万
3,2016,0,0,0,1,0,1,2,4,5,0,1-10万
3,2016,0,0,0,0,0,2,2,4,5,0,1-10万
3,2014,0,0,0,0,0,1,0,4,5,1,0万
3,2018,0,0,0,1,1,5,5,4,5,0,10-20万
3,2018,0,0,0,0,1,3,2,4,5,0,1-10万
3,2017,0,0,0,1,1,4,4,4,5,0,1-10万
3,2017,0,0,0,1,1,4,4,4,5,0,1-10万
3,2018,0,0,1,0,0,1,0,3,4,0,1-10万
3,2018,0,0,0,0,1,5,2,6,4,0,0-1万
3,2015,0,0,1,0,1,5,6,4,4,0,1-10万
3,2017,0,0,1,1,1,6,4,3,5,0,1-10万
3,2016,0,0,1,0,0,2,2,3,5,0,0-1万
3,2017,0,0,1,0,1,3,0,7,5,1,0万
